,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
295,Big,1988-06-03,1988,6,254994357,114968774,Comedy,20th Century Fox,23
296,Catch Me if You Can,2002-12-25,2002,12,254258652,164606800,Drama,Dreamworks SKG,25
297,Lethal Weapon 4,1998-07-10,1998,7,253379600,130444603,Action,Warner Bros.,24
298,Die Hard 2,1990-07-03,1990,7,253274999,117323878,Action,20th Century Fox,23
299,National Treasure,2004-11-19,2004,11,252950392,173005002,Adventure,Walt Disney,25
300,Hitch,2005-02-11,2005,2,252669977,177784257,Romantic Comedy,Sony Pictures,25
301,The Blair Witch Project,1999-07-14,1999,7,252029753,140539099,Horror,Artisan,23
302,Die Another Day,2002-11-22,2002,11,251944803,160942139,Action,MGM,25
303,Patch Adams,1998-12-25,1998,12,251890143,135014968,Comedy,Universal,24
304,My Best Friend's Wedding,1997-06-20,1997,6,251690761,126813153,Comedy,Sony Pictures,24
305,How to Train Your Dragon,2010-03-26,2010,3,251224967,217581232,Adventure,Paramount Pictures,25
306,Twins,1988-12-09,1988,12,250701042,111936388,Comedy,Universal,23
307,Ted,2012-06-29,2012,6,250256893,218665740,Comedy,Universal,25
308,Sherlock Holmes,2009-12-25,2009,12,249678526,209028679,Adventure,Warner Bros.,25
309,Big Hero 6,2014-11-07,2014,11,247741449,222527828,Adventure,Walt Disney,25
310,Madagascar 3: Europe's Most Wanted,2012-06-08,2012,6,247654065,216391482,Adventure,Paramount Pictures,25
311,Tomorrow Never Dies,1997-12-19,1997,12,247306528,125304276,Action,MGM,24
312,The Martian,2015-10-02,2015,10,246775224,228433663,Thriller/Suspense,20th Century Fox,25
313,The Karate Kid,1984-06-22,1984,6,246229079,90815558,Action,Sony Pictures,23
314,Fantastic Beasts and Where to Find Them,2016-11-18,2016,11,246056618,234037575,Adventure,Warner Bros.,25
315,The Addams Family,1991-11-22,1991,11,245711577,113502246,Comedy,Paramount Pictures,23
316,Doctor Seuss' The Lorax,2012-03-02,2012,3,244951985,214030500,Adventure,Universal,25
317,Doctor Strange,2016-11-04,2016,11,244918405,232641920,Action,Walt Disney,25
318,Stuart Little,1999-12-17,1999,12,244838748,140015224,Adventure,Sony Pictures,23
319,Star Trek II: The Wrath of Khan,1982-06-04,1982,6,244522813,78912963,Adventure,Paramount Pictures,23
320,The Truman Show,1998-06-05,1998,6,244004645,125618201,Drama,Paramount Pictures,24
321,Twilight,2008-11-21,2008,11,243728922,192769854,Drama,Summit Entertainment,25
322,The Simpsons Movie,2007-07-27,2007,7,242494180,183135014,Adventure,20th Century Fox,25
323,Crocodile Dundee 2,1988-05-25,1988,5,242282126,109306210,Adventure,Paramount Pictures,23
324,The Little Mermaid,1989-11-15,1989,11,241772713,111543479,Adventure,Walt Disney,23
325,Fast Five,2011-04-29,2011,4,241284408,210031325,Action,Universal,25
326,Monsters vs. Aliens,2009-03-27,2009,3,240930986,198351526,Adventure,Paramount Pictures,25
327,Scooby-Doo,2002-06-14,2002,6,240363132,153294164,Adventure,Warner Bros.,25
328,Mission: Impossible—Ghost Protocol,2011-12-16,2011,12,240261401,209397903,Action,Paramount Pictures,25
329,Any Which Way You Can,1980-12-17,1980,12,239390968,70687344,Comedy,Warner Bros.,22
330,The Green Mile,1999-12-10,1999,12,239126149,136801374,Drama,Warner Bros.,23
331,Ice Age: Dawn of the Dinosaurs,2009-07-01,2009,7,238771524,196573705,Adventure,20th Century Fox,25
332,Shark Tale,2004-10-01,2004,10,236759826,161412000,Adventure,Dreamworks SKG,25
333,Private Benjamin,1980-10-10,1980,10,236546215,69847348,Comedy,Warner Bros.,22
334,A League of Their Own,1992-07-01,1992,7,236056398,107533925,Comedy,Sony Pictures,23
335,Pulp Fiction,1994-10-14,1994,10,234852794,107928762,Drama,Miramax,23
336,Indecent Proposal,1993-04-07,1993,4,234602433,106614059,Drama,Paramount Pictures,23
337,Interview with the Vampire: The Vampi…,1994-11-11,1994,11,234419276,105264608,Horror,Warner Bros.,23
338,Mulan,1998-06-19,1998,6,234296482,120620254,Adventure,Walt Disney,24
339,American Pie 2,2001-08-10,2001,8,233539223,145096820,Comedy,Universal,25
340,Dinosaur,2000-05-19,2000,5,232817219,137748063,Adventure,Walt Disney,24
341,The Fast and the Furious,2001-06-22,2001,6,232598433,144512310,Action,Universal,25
342,Justice League,2017-11-17,2017,11,232544520,229024295,Action,Warner Bros.,25
343,Dawn of the Planet of the Apes,2014-07-11,2014,7,232539810,208545589,Adventure,20th Century Fox,25
344,Casino Royale,2006-11-17,2006,11,231864714,167365000,Action,Sony Pictures,25
345,Tangled,2010-11-24,2010,11,231682049,200821936,Musical,Walt Disney,25
346,Poltergeist,1982-06-04,1982,6,231487013,74706019,Horror,MGM,23
347,The Color Purple,1985-12-18,1985,12,231352149,93589701,Drama,Warner Bros.,23
348,Thor: The Dark World,2013-11-08,2013,11,231221293,206362140,Action,Walt Disney,25
349,Driving Miss Daisy,1989-12-13,1989,12,230680805,106593296,Drama,Warner Bros.,23
350,Logan,2017-03-03,2017,3,229808705,226277068,Action,20th Century Fox,25
351,The Fate of the Furious,2017-04-14,2017,4,229288406,225764765,Action,Universal,25
352,Lilo & Stitch,2002-06-21,2002,6,228567741,145771527,Adventure,Walt Disney,25
353,Madagascar: Escape 2 Africa,2008-11-07,2008,11,228435327,180174880,Adventure,Paramount Pictures,25
354,Parenthood,1989-08-02,1989,8,228430007,100047830,Comedy,Universal,23
355,Coal Miner's Daughter,1980-03-07,1980,3,227522368,67182787,Drama,Universal,22
356,Terminator 3: Rise of the Machines,2003-07-01,2003,7,227158214,150358296,Action,Warner Bros.,25
357,American Beauty,1999-09-15,1999,9,227144586,130058047,Drama,Dreamworks SKG,23
358,Maverick,1994-05-20,1994,5,226926684,101631272,Western,Warner Bros.,23
359,Ace Ventura: When Nature Calls,1995-11-10,1995,11,226801075,108360063,Comedy,Warner Bros.,24
360,World War Z,2013-06-21,2013,6,226752391,202359711,Action,Paramount Pictures,25
361,The World is Not Enough,1999-11-19,1999,11,226691846,126930660,Action,MGM,23
362,The Amazing Spider-Man 2,2014-05-02,2014,5,226193301,202853933,Action,Sony Pictures,25
363,In the Line of Fire,1993-07-09,1993,7,224985908,102243874,Thriller/Suspense,Sony Pictures,23
364,The Longest Yard,2005-05-27,2005,5,224722036,158119460,Comedy,Paramount Pictures,25
365,48 Hrs.,1982-12-08,1982,12,224702596,75936265,Action,Paramount Pictures,23
366,A Time to Kill,1996-07-24,1996,7,224176083,108766007,Drama,Warner Bros.,24
367,Back to School,1986-06-13,1986,6,224086350,91258000,Comedy,Orion Pictures,23
368,Smokey and the Bandit II,1980-08-15,1980,8,223965879,66132626,Comedy,Universal,22
369,Dick Tracy,1990-06-15,1990,6,223947814,103738726,Action,Walt Disney,23
370,Godzilla,2014-05-16,2014,5,223764867,200676069,Action,Warner Bros.,25
371,Face/Off,1997-06-27,1997,6,222840011,112276146,Action,Paramount Pictures,24
372,Wild Hogs,2007-03-02,2007,3,222736293,168213584,Comedy,Walt Disney,25
373,The Pelican Brief,1993-12-17,1993,12,222685970,100768056,Drama,Warner Bros.,23
374,xXx,2002-08-09,2002,8,222544282,141930000,Action,Sony Pictures,25
375,Goldeneye,1995-11-17,1995,11,222467730,106429941,Action,MGM,24
376,Unforgiven,1992-08-07,1992,8,222212140,101157447,Western,Warner Bros.,23
377,The Pursuit of Happyness,2006-12-15,2006,12,221849918,162586036,Drama,Sony Pictures,25
378,Mission: Impossible—Fallout,2018-07-27,2018,7,220159104,220159104,Action,Paramount Pictures,25
379,Police Academy,1984-03-23,1984,3,220155330,81198894,Comedy,Warner Bros.,23
380,Cars 2,2011-06-24,2011,6,219939150,191450875,Adventure,Walt Disney,25
381,Fantastic Four,2005-07-08,2005,7,219856668,154696080,Action,20th Century Fox,25
382,Sleeping with the Enemy,1991-02-08,1991,2,219849626,101599005,Thriller/Suspense,20th Century Fox,23
383,You've Got Mail,1998-12-18,1998,12,219339457,115821495,Drama,Warner Bros.,24
384,Dead Poets Society,1989-06-02,1989,6,218868579,95860116,Drama,Walt Disney,23
385,X-Men Origins: Wolverine,2009-05-01,2009,5,218498075,179883157,Action,20th Century Fox,25
386,The Santa Clause 2,2002-11-01,2002,11,218249983,139225854,Adventure,Walt Disney,25
387,Cinderella,2015-03-13,2015,3,217377081,201151353,Drama,Walt Disney,25
388,The First Wives Club,1996-09-20,1996,9,217359772,105489203,Comedy,Paramount Pictures,24
389,Footloose,1984-02-17,1984,2,216904755,80000000,Musical,Paramount Pictures,23
390,Ant-Man and the Wasp,2018-07-06,2018,7,216648740,216648740,Action,Walt Disney,25
391,Wreck-It Ralph,2012-11-02,2012,11,216516450,189412677,Adventure,Walt Disney,25
392,Bohemian Rhapsody,2018-11-02,2018,11,216303340,216303339,Drama,20th Century Fox,25
393,Spectre,2015-11-06,2015,11,216131343,200074175,Action,Sony Pictures,25
394,The Best Little Whorehouse in Texas,1982-07-23,1982,7,215980235,69701637,Comedy,Universal,23
395,Phenomenon,1996-07-05,1996,7,215657149,104636382,Drama,Walt Disney,24
396,Over the Hedge,2006-05-19,2006,5,215607044,155019340,Adventure,Paramount Pictures,25
397,Night at the Museum: Battle of the Sm…,2009-05-22,2009,5,215292039,177243721,Adventure,20th Century Fox,25
398,A Star is Born,2018-10-05,2018,10,215288866,215288866,Drama,Warner Bros.,25
399,WarGames,1983-06-03,1983,6,215267378,74433837,Thriller/Suspense,MGM,23
400,Schindler’s List,1993-12-15,1993,12,215056017,96898818,Drama,Universal,23
401,Quantum of Solace,2008-11-14,2008,11,214757090,169368427,Action,Sony Pictures,25
402,Enemy of the State,1998-11-20,1998,11,214481613,111549836,Action,Walt Disney,24
403,Sherlock Holmes: A Game of Shadows,2011-12-16,2011,12,214435626,186848418,Action,Warner Bros.,25
404,22 Jump Street,2014-06-13,2014,6,213777619,191719337,Comedy,Sony Pictures,25
405,Solo: A Star Wars Story,2018-05-25,2018,5,213767512,213767512,Adventure,Walt Disney,25
406,Venom,2018-10-05,2018,10,213511408,213511408,Action,Sony Pictures,25
407,Teenage Mutant Ninja Turtles,2014-08-08,2014,8,213203826,191204754,Adventure,Paramount Pictures,25
408,Batman & Robin,1997-06-20,1997,6,213013618,107325195,Action,Warner Bros.,24
409,Coco,2017-11-22,2017,11,212532784,209726015,Musical,Walt Disney,25
410,"I, Robot",2004-07-16,2004,7,212421468,144801023,Action,20th Century Fox,25
411,Erin Brockovich,2000-03-17,2000,3,212198237,125548685,Drama,Universal,24
412,When Harry Met Sally…,1989-07-14,1989,7,211912083,92823546,Romantic Comedy,Columbia,23
413,It: Chapter Two,2019-09-06,2019,9,211593228,211593228,Horror,Warner Bros.,25
414,Charlie's Angels,2000-11-03,2000,11,211585489,125305545,Action,Sony Pictures,24
415,Lara Croft: Tomb Raider,2001-06-15,2001,6,211081889,131144183,Adventure,Paramount Pictures,25
416,Mission: Impossible—Rogue Nation,2015-07-31,2015,7,210775328,195042377,Action,Paramount Pictures,25
417,The Matrix Revolutions,2003-11-05,2003,11,210364859,139270910,Action,Warner Bros.,25
418,Casper,1995-05-26,1995,5,210112603,100328194,Comedy,Universal,24
419,The Croods,2013-03-22,2013,3,209729928,187168425,Adventure,20th Century Fox,25
420,Interstellar,2014-11-05,2014,11,209470922,188017894,Adventure,Paramount Pictures,25
421,Die Hard: With a Vengeance,1995-05-19,1995,5,209451463,100012499,Action,20th Century Fox,24
422,Bad Boys II,2003-07-18,2003,7,209304691,138540870,Action,Sony Pictures,25
423,Se7en,1995-09-22,1995,9,209256846,100125643,Thriller/Suspense,New Line,24
424,Aliens,1986-07-18,1986,7,209113163,85160248,Action,20th Century Fox,23
425,Double Jeopardy,1999-09-24,1999,9,209063313,116735231,Action,Paramount Pictures,23
426,Jumanji,1995-12-15,1995,12,208971867,100458310,Adventure,Sony Pictures,24
427,George Of The Jungle,1997-07-16,1997,7,208921188,105263257,Adventure,Walt Disney,24
428,Eraser,1996-06-21,1996,6,208778853,101295562,Action,Warner Bros.,24
429,Nutty Professor II: The Klumps,2000-07-28,2000,7,208411010,123307945,Comedy,Universal,24
430,Notting Hill,1999-05-28,1999,5,208184435,116089678,Romantic Comedy,Universal,23
431,Thor,2011-05-06,2011,5,207968346,181030624,Action,Paramount Pictures,25
432,Lincoln,2012-11-09,2012,11,207619742,182207973,Drama,Walt Disney,25
433,Scream,1996-12-20,1996,12,207508837,103046663,Horror,Miramax,24
434,Star Trek III: The Search for Spock,1984-06-01,1984,6,207336667,76471046,Adventure,Paramount Pictures,23
435,"Crouching Tiger, Hidden Dragon",2000-12-08,2000,12,207214821,128067808,Action,Sony Pictures Classics,24
436,Cheaper by the Dozen,2003-12-25,2003,12,207095325,138614544,Comedy,20th Century Fox,25
437,Minority Report,2002-06-21,2002,6,207012925,132024714,Action,20th Century Fox,25
438,The Hunchback of Notre Dame,1996-06-21,1996,6,206394775,100138851,Adventure,Walt Disney,24
439,Talladega Nights: The Ballad of Ricky…,2006-08-04,2006,8,206141044,148213377,Comedy,Sony Pictures,25
440,The Client,1994-07-20,1994,7,205678811,92115211,Drama,Warner Bros.,23
441,Men in Black 3,2012-05-25,2012,5,204884419,179020854,Adventure,Sony Pictures,25
442,Anger Management,2003-04-11,2003,4,204802675,135560942,Comedy,Sony Pictures,25
443,Wild Wild West,1999-06-30,1999,6,204088533,113805681,Adventure,Warner Bros.,23
444,The Karate Kid,2010-06-11,2010,6,203897296,176591618,Adventure,Sony Pictures,25
445,Romancing the Stone,1984-03-30,1984,3,203560399,75078260,Adventure,20th Century Fox,23
446,Rise of the Planet of the Apes,2011-08-05,2011,8,203062456,176760185,Adventure,20th Century Fox,25
447,Captain America: The First Avenger,2011-07-22,2011,7,202941056,176654505,Action,Paramount Pictures,25
448,The Ring,2002-10-18,2002,10,202311026,129094024,Horror,Dreamworks SKG,25
449,2012,2009-11-13,2009,11,201610604,166112167,Action,Sony Pictures,25
450,Ralph Breaks The Internet,2018-11-21,2018,11,201091711,201091711,Adventure,Walt Disney,25
451,Con Air,1997-06-06,1997,6,200693045,101117573,Action,Walt Disney,24
452,Scream 2,1997-12-12,1997,12,200510317,101363301,Horror,Miramax,24
453,Bringing Down the House,2003-03-07,2003,3,200443267,132675402,Comedy,Walt Disney,25
454,Contact,1997-07-11,1997,7,200301561,100920329,Drama,Warner Bros.,24
455,Traffic,2000-12-27,2000,12,199785980,124107476,Drama,USA Films,24
456,Hulk,2003-06-20,2003,6,199690644,132177234,Action,Universal,25
457,Sweet Home Alabama,2002-09-27,2002,9,199405419,127214072,Comedy,Walt Disney,25
458,Pitch Perfect 2,2015-05-15,2015,5,199162355,184296230,Comedy,Universal,25
459,The Proposal,2009-06-19,2009,6,199154357,163958031,Romantic Comedy,Walt Disney,25
460,Big Momma's House,2000-06-02,2000,6,198695076,117559438,Comedy,20th Century Fox,24
461,Tron: Legacy,2010-12-17,2010,12,198430777,172062763,Adventure,Walt Disney,25
462,Mr. Deeds,2002-06-28,2002,6,198026393,126293452,Comedy,Sony Pictures,25
463,Kindergarten Cop,1990-12-21,1990,12,197661856,91457688,Comedy,Universal,23
464,How to Train Your Dragon 2,2014-06-13,2014,6,197368004,177002924,Adventure,20th Century Fox,25
465,True Grit,2010-12-22,2010,12,197229086,171243005,Western,Paramount Pictures,25
466,Out of Africa,1985-12-18,1985,12,197177669,79096868,Drama,Universal,23
467,Knocked Up,2007-06-01,2007,6,196979599,148761765,Romantic Comedy,Universal,25
468,Hercules,1997-06-13,1997,6,196712686,99112101,Adventure,Walt Disney,24
469,Octopussy,1983-06-10,1983,6,196371106,67900000,Action,MGM,23
470,Horton Hears a Who,2008-03-14,2008,3,196067297,154529439,Adventure,20th Century Fox,25
471,Cocoon,1985-06-21,1985,6,195691391,76257348,Adventure,20th Century Fox,23
472,Troy,2004-05-14,2004,5,195547507,133298577,Action,Warner Bros.,25
473,Remember the Titans,2000-09-29,2000,9,195321944,115654751,Drama,Walt Disney,24
474,The Help,2011-08-10,2011,8,194957216,169705587,Drama,Walt Disney,25
475,Ant-Man,2015-07-17,2015,7,194738038,180202163,Action,Walt Disney,25
476,Bridesmaids,2011-05-13,2011,5,194390765,169211718,Comedy,Universal,25
477,Father of the Bride,1991-12-20,1991,12,194327086,89325780,Comedy,Walt Disney,23
478,The Blues Brothers,1980-06-20,1980,6,193815724,57229890,Musical,Universal,22
479,Sex and the City,2008-05-30,2008,5,193679183,152647258,Comedy,Warner Bros.,25
480,The Rugrats Movie,1998-11-20,1998,11,193517590,100494685,Adventure,Paramount Pictures,24
481,The Revenant,2015-12-25,2015,12,193427592,183637894,Adventure,20th Century Fox,25
482,Michael,1996-12-25,1996,12,193261562,95345070,Comedy,New Line,24
483,The Hand That Rocks the Cradle,1992-01-10,1992,1,193256424,88036683,Thriller/Suspense,Walt Disney,23
484,Dunkirk,2017-07-21,2017,7,193008323,190068280,Action,Warner Bros.,25
485,The Golden Child,1986-12-12,1986,12,192815072,79817937,Action,Paramount Pictures,23
486,Chicken Little,2005-11-04,2005,11,192309249,135386665,Adventure,Walt Disney,25
487,2 Fast 2 Furious,2003-06-06,2003,6,192050361,127120058,Action,Universal,25
488,The Prince of Egypt,1998-12-18,1998,12,191788639,101413188,Adventure,Dreamworks SKG,24
489,Home,2015-03-27,2015,3,191707150,177397510,Adventure,20th Century Fox,25
490,Analyze This,1999-03-05,1999,3,191678800,106885658,Comedy,Warner Bros.,23
491,The Patriot,2000-06-28,2000,6,191547197,113330342,Drama,Sony Pictures,24
492,Crimson Tide,1995-05-12,1995,5,191387891,91387195,Action,Walt Disney,24
493,Chariots of Fire,1981-09-25,1981,9,191240582,61558162,Drama,Warner Bros.,23
494,Click,2006-06-23,2006,6,191039661,137355633,Comedy,Sony Pictures,25
495,Sudden Impact,1983-12-09,1983,12,190965296,67642693,Action,Warner Bros.,23
496,The Bourne Identity,2002-06-14,2002,6,190461649,121468960,Thriller/Suspense,Universal,25
497,Spider-Man: Into The Spider-Verse 3D,2018-12-14,2018,12,190173195,190173195,Adventure,Sony Pictures,25
498,Back to the Future Part III,1990-05-24,1990,5,190090900,88055283,Adventure,Universal,23
499,Kung Fu Panda 2,2011-05-26,2011,5,189838453,165249063,Adventure,Paramount Pictures,25
500,Star Trek: First Contact,1996-11-22,1996,11,189460570,92027888,Adventure,Paramount Pictures,24
501,Clash of the Titans,2010-04-01,2010,4,188452175,163214888,Action,Warner Bros.,25
502,The Cannonball Run,1981-06-19,1981,6,188422030,57498710,Action,20th Century Fox,23
503,Fast & Furious,2009-04-03,2009,4,188351391,155064265,Action,Universal,25
504,The Naked Gun 2½: The Smell of Fear,1991-06-28,1991,6,188108318,86930411,Comedy,Paramount Pictures,23
505,A Quiet Place,2018-04-06,2018,4,188024361,188024361,Horror,Paramount Pictures,25
506,Mr. Mom,1983-07-22,1983,7,187405709,64800000,Comedy,20th Century Fox,23
507,Steel Magnolias,1989-11-15,1989,11,187136609,83759091,Comedy,Sony Pictures,23
508,Grown Ups,2010-06-25,2010,6,187050802,162001186,Comedy,Sony Pictures,25
509,Gone Girl,2014-10-03,2014,10,187015674,167767189,Thriller/Suspense,20th Century Fox,25
510,Something's Gotta Give,2003-12-12,2003,12,186468153,124685242,Romantic Comedy,Sony Pictures,25
511,Presumed Innocent,1990-07-27,1990,7,186308537,86303188,Thriller/Suspense,Warner Bros.,23
512,The War of the Roses,1989-12-08,1989,12,186139465,83699711,Black Comedy,20th Century Fox,23
513,Space Jam,1996-11-15,1996,11,186069810,90463534,Adventure,Warner Bros.,24
514,The Sum of All Fears,2002-05-31,2002,5,185761391,118471320,Action,Paramount Pictures,25
515,Mission: Impossible III,2006-05-05,2006,5,185678972,133501348,Action,Paramount Pictures,25
516,Rush Hour 3,2007-08-10,2007,8,185544700,140125968,Action,New Line,25
517,Django Unchained,2012-12-25,2012,12,184973594,162805434,Western,Weinstein Co.,25
518,Cliffhanger,1993-05-28,1993,5,184948861,84049211,Action,Sony Pictures,23
519,Waterworld,1995-07-28,1995,7,184809897,88246220,Action,Universal,24
520,Staying Alive,1983-07-15,1983,7,184633591,63841474,Musical,Paramount Pictures,23
521,Ice Age: Continental Drift,2012-07-13,2012,7,184625565,161321843,Adventure,20th Century Fox,25
522,The General's Daughter,1999-06-18,1999,6,184183129,102705852,Drama,Paramount Pictures,23
523,Flubber,1997-11-26,1997,11,184152136,92993801,Comedy,Walt Disney,24
524,Juno,2007-12-05,2007,12,183808216,143495265,Comedy,Fox Searchlight,25
525,Risky Business,1983-08-05,1983,8,183766847,63541777,Comedy,Warner Bros.,23
526,Under Siege,1992-10-09,1992,10,183472722,83563139,Action,Warner Bros.,23
527,Hotel Transylvania 2,2015-09-25,2015,9,183355066,169700110,Adventure,Sony Pictures,25
528,The Departed,2006-10-06,2006,10,183323163,132384315,Drama,Warner Bros.,25
529,Ocean's Twelve,2004-12-10,2004,12,183305544,125531634,Adventure,Warner Bros.,25
530,8 Mile,2002-11-08,2002,11,182938566,116724075,Drama,Universal,25
531,Mamma Mia!,2008-07-18,2008,7,182872546,144130063,Musical,Universal,25
532,Patriot Games,1992-06-05,1992,6,182830813,83287363,Action,Paramount Pictures,23
533,American Pie,1999-07-09,1999,7,182560355,101800948,Comedy,Universal,23
534,G.I. Joe: The Rise of Cobra,2009-08-07,2009,8,182444749,150201498,Action,Paramount Pictures,25
535,The Mask of Zorro,1998-07-17,1998,7,182255826,93828745,Adventure,Sony Pictures,24
536,Robots,2005-03-11,2005,3,182200009,128200012,Adventure,20th Century Fox,25
537,Dr. Dolittle 2,2001-06-22,2001,6,181798768,112950721,Adventure,20th Century Fox,25
538,Seabiscuit,2003-07-25,2003,7,181713307,120277854,Drama,Universal,25
539,Spy Kids,2001-03-30,2001,3,181382450,112692062,Adventure,Miramax/Dimension,25
540,Shakespeare in Love,1998-12-11,1998,12,181315556,100317794,Romantic Comedy,Miramax,24
541,Bram Stoker's Dracula,1992-11-13,1992,11,181152432,82522790,Horror,Sony Pictures,23
542,Disclosure,1994-12-09,1994,12,181021549,83015089,Drama,Warner Bros.,23
543,Die Hard,1988-07-15,1988,7,180749816,81350242,Action,20th Century Fox,23
544,Chicken Run,2000-06-21,2000,6,180499546,106793915,Adventure,Dreamworks SKG,24
545,Gran Torino,2008-12-12,2008,12,180418066,148095302,Drama,Warner Bros.,25
546,Sleepy Hollow,1999-11-19,1999,11,180397860,101068340,Horror,Paramount Pictures,23
547,Purple Rain,1984-07-27,1984,7,180369591,68392977,Drama,Warner Bros.,23
548,The Chronicles of Narnia: Prince Caspian,2008-05-16,2008,5,179689658,141621490,Adventure,Walt Disney,25
549,Marley & Me,2008-12-25,2008,12,179658410,143153751,Comedy,20th Century Fox,25
550,The Dream is Alive,1985-06-30,1985,6,179633795,70000000,Documentary,IMAX Films,23
551,For Your Eyes Only,1981-06-26,1981,6,179578415,54800000,Action,Universal,23
552,Fifty Shades of Grey,2015-02-13,2015,2,179570991,166167230,Drama,Universal,25
553,Moonstruck,1987-12-16,1987,12,179150318,80640528,Romantic Comedy,MGM,23
554,The Heat,2013-06-28,2013,6,178817739,159581587,Comedy,20th Century Fox,25
555,Get Out,2017-02-24,2017,2,178779541,176040665,Horror,Universal,25
556,Borat,2006-11-03,2006,11,178537416,128505958,Comedy,20th Century Fox,25
557,The Lego Batman Movie,2017-02-10,2017,2,178493423,175750384,Adventure,Warner Bros.,25
558,Days of Thunder,1990-06-27,1990,6,178466913,82670733,Action,Paramount Pictures,23
559,Fried Green Tomatoes,1991-12-27,1991,12,178186353,81204830,Drama,Universal,23
560,Live Free or Die Hard,2007-06-27,2007,6,178134134,134529403,Action,20th Century Fox,25
561,Dangerous Minds,1995-08-11,1995,8,177825788,84919401,Drama,Walt Disney,24
562,Paul Blart: Mall Cop,2009-01-16,2009,1,177749674,146336178,Adventure,Sony Pictures,25
563,The Boss Baby,2017-03-31,2017,3,177734406,175003033,Adventure,20th Century Fox,25
564,The Untouchables,1987-06-03,1987,6,177704297,76270454,Action,Paramount Pictures,23
565,National Lampoon’s Vacation,1983-07-29,1983,7,177572694,61400000,Comedy,Warner Bros.,23
566,Snow White and the Huntsman,2012-06-01,2012,6,177549728,155136755,Adventure,Universal,25
567,50 First Dates,2004-02-13,2004,2,177178249,120776832,Romantic Comedy,Sony Pictures,25
568,Ordinary People,1980-09-19,1980,9,177130157,52302978,Drama,Paramount Pictures,22
569,Annie,1982-05-21,1982,5,176805277,57059003,Musical,Sony Pictures,23
570,S.W.A.T.,2003-08-08,2003,8,176576269,116877597,Action,Sony Pictures,25
571,Van Helsing,2004-05-07,2004,5,176259497,120150546,Action,Universal,25
572,The SpongeBob Movie: Sponge Out of Water,2015-02-06,2015,2,176141823,162994032,Adventure,Paramount Pictures,25
573,Taken,2009-01-30,2009,1,176127866,145000989,Thriller/Suspense,20th Century Fox,25
574,Antz,1998-10-02,1998,10,176077278,90757863,Adventure,Dreamworks SKG,24
575,Ruthless People,1986-06-27,1986,6,175876722,71624879,Comedy,Walt Disney,23
576,Miss Congeniality,2000-12-22,2000,12,175650939,106807667,Comedy,Warner Bros.,24
577,Pirates of the Caribbean: Dead Men Te…,2017-05-26,2017,5,175252095,172558876,Adventure,Walt Disney,25
578,The Greatest Showman,2017-12-20,2017,12,175105524,174340174,Musical,20th Century Fox,25
579,Us,2019-03-22,2019,3,175084580,175084580,Thriller/Suspense,Universal,25
580,Fahrenheit 9/11,2004-06-23,2004,6,174739648,119114517,Documentary,Lionsgate,25
581,Fantastic Four: Rise of the Silver Su…,2007-06-15,2007,6,174681253,131921738,Action,20th Century Fox,25
582,Inspector Gadget,1999-07-23,1999,7,174646525,97387965,Adventure,Walt Disney,23
583,Crazy Rich Asians,2018-08-15,2018,8,174532921,174532921,Romantic Comedy,Warner Bros.,25
584,The Naked Gun: From the Files of Poli…,1988-12-02,1988,12,174519960,78041829,Comedy,Paramount Pictures,23
585,The Princess Diaries,2001-08-03,2001,8,174223539,108244774,Comedy,Walt Disney,25
586,Straight Outta Compton,2015-08-14,2015,8,174200691,161197785,Drama,Universal,25
587,Fast & Furious Presents: Hobbs & Shaw,2019-08-02,2019,8,173956935,173956935,Action,Universal,25
588,The Devil Wears Prada,2006-06-30,2006,6,173493983,124740460,Comedy,20th Century Fox,25
589,Cocktail,1988-07-29,1988,7,173384253,78222753,Drama,Walt Disney,23
590,Superman III,1983-06-17,1983,6,173381001,59950623,Adventure,Warner Bros.,23
591,Slumdog Millionaire,2008-11-12,2008,11,173222113,141330703,Drama,Fox Searchlight,25
592,Lemony Snicket's A Series of Unfortun…,2004-12-17,2004,12,172925628,118627117,Adventure,Paramount Pictures,25
593,Another 48 Hrs.,1990-06-08,1990,6,172803773,80047413,Action,Paramount Pictures,23
594,Philadelphia,1993-12-22,1993,12,172627002,77324422,Drama,Sony/TriStar,23
595,The Jewel of the Nile,1985-12-11,1985,12,172493778,68275764,Adventure,20th Century Fox,23
596,Hidden Figures,2016-12-25,2016,12,172329096,169607287,Drama,20th Century Fox,25
597,American Gangster,2007-11-02,2007,11,172298541,130164645,Drama,Universal,25
598,Ferris Bueller's Day Off,1986-06-11,1986,6,172221644,70136369,Comedy,Paramount Pictures,23
599,Mary Poppins Returns,2018-12-19,2018,12,171958438,171958438,Musical,Walt Disney,25
600,Gone in 60 Seconds,2000-06-09,2000,6,171793647,101643008,Action,Walt Disney,24
601,Puss in Boots,2011-10-28,2011,10,171455511,149260504,Adventure,Paramount Pictures,25
602,Megamind,2010-11-05,2010,11,171340206,148415853,Adventure,Paramount Pictures,25
603,Cape Fear,1991-11-15,1991,11,171146746,79091969,Thriller/Suspense,Universal,23
